epoch,loss,lr,output_loss,output_mean_absolute_error,val_loss,val_output_loss,val_output_mean_absolute_error,val_variance_output_loss,variance_output_loss
0,0.16979866361979282,0.0005,0.16954855831960838,0.579192154154633,-0.1923950711886088,-0.19265246701737246,0.40383923550446826,-0.19265246701737246,0.16954855831960838
1,-0.2764475447944168,0.0005,-0.27670757978251487,0.3788294777725682,-0.3698193202209141,-0.3700815522008472,0.3471219655540254,-0.3700815522008472,-0.27670757978251487
2,-0.3899415919839433,0.0005,-0.3902054143674446,0.3445206566290422,-0.4117143808139695,-0.4119800751407941,0.3381390935844845,-0.4119800751407941,-0.3902054143674446
3,-0.44587970904328605,0.0005,-0.44614655036817896,0.32698144804347645,-0.4175358611262507,-0.41780388520823586,0.3207871682114071,-0.41780388520823586,-0.44614655036817896
4,-0.48110817752101204,0.0005,-0.4813776762196512,0.31599864345608336,-0.48925483889049953,-0.4895256542497211,0.3115384744273292,-0.4895256542497211,-0.4813776762196512
5,-0.5010578533013662,0.0005,-0.5013305277535409,0.3109269528677969,-0.5175875284605556,-0.5178620153003268,0.30242151187525856,-0.5178620153003268,-0.5013305277535409
6,-0.5552830063935482,0.0005,-0.5555588380856947,0.29797519716349513,-0.4968253866665893,-0.4971028119325638,0.30356404516432023,-0.4971028119325638,-0.5555588380856947
7,-0.5655823517929424,0.0005,-0.5658608356208512,0.29324201101606545,-0.5410563548405966,-0.5413359138700697,0.2926595177915361,-0.5413359138700697,-0.5658608356208512
8,-0.5880324708692956,0.0005,-0.588313736337604,0.28734596606456875,-0.5906925880246692,-0.590975531273418,0.2817770491043727,-0.590975531273418,-0.588313736337604
9,-0.6167710228399796,0.0005,-0.6170550779862838,0.2801733063929009,-0.5959505749245485,-0.596235904428694,0.27683395478460526,-0.596235904428694,-0.6170550779862838
10,-0.6257242872859492,0.0005,-0.6260108530521393,0.2773914073452805,-0.5738879363569949,-0.5741758330000771,0.27613974445396,-0.5741758330000771,-0.6260108530521393
11,-0.649612924005046,0.0005,-0.6499019817872481,0.272517837990414,-0.6153817110591464,-0.615671929385927,0.27177856531408096,-0.615671929385927,-0.6499019817872481
12,-0.6555139202060122,0.0005,-0.6558054129282633,0.2694575727889032,-0.6325411154992051,-0.6328338947561052,0.26789383341868717,-0.6328338947561052,-0.6558054129282633
13,-0.6673002019073024,0.0005,-0.6675942547393567,0.267243584448641,-0.6867904398176405,-0.6870857212278578,0.26353003746933407,-0.6870857212278578,-0.6675942547393567
14,-0.6706155020179171,0.0005,-0.6709122363365058,0.2669743777224512,-0.6973634295993381,-0.6976615720325046,0.2601580015487141,-0.6976615720325046,-0.6709122363365058
15,-0.6940483293750069,0.0005,-0.6943476622754877,0.26207000441623457,-0.6022610670576493,-0.602561650176843,0.264877538714144,-0.602561650176843,-0.6943476622754877
16,-0.6870827837423845,0.0005,-0.6873848965673736,0.2631053957975272,-0.6555403201944299,-0.6558438854085075,0.26536641435490715,-0.6558438854085075,-0.6873848965673736
17,-0.7084459909887025,0.0005,-0.7087508938529274,0.2585067077116533,-0.6801418736577034,-0.6804481214947171,0.2571626603603363,-0.6804481214947171,-0.7087508938529274
18,-0.7236705258037105,0.00025,-0.7239771763483683,0.255230822075497,-0.6020181948939959,-0.6023252738846673,0.258583584593402,-0.6023252738846673,-0.7239771763483683
19,-0.7351008460377202,0.00025,-0.7354083055799657,0.2534896759372769,-0.6253430719176928,-0.6256509274244308,0.2592819175786442,-0.6256509274244308,-0.7354083055799657
20,-0.7387551849538629,0.000125,-0.7390631383115595,0.25311404656280173,-0.6389606959289975,-0.6392688519424863,0.2556583492292298,-0.6392688519424863,-0.7390631383115595
21,-0.7464999347022085,0.000125,-0.7468081784970833,0.25058927834033967,-0.7080489496390024,-0.7083573424153857,0.25615837756130433,-0.7083573424153857,-0.7468081784970833
22,-0.7501219408078628,0.000125,-0.750430450294957,0.250552234414852,-0.6931786251564821,-0.6934872567653656,0.25362105005317265,-0.6934872567653656,-0.750430450294957
23,-0.7454151128277634,0.000125,-0.7457238612752972,0.25198709233240646,-0.7072754129767418,-0.7075842254691653,0.25232024242480594,-0.7075842254691653,-0.7457238612752972
24,-0.7471865453503349,0.000125,-0.7474954373908765,0.2507381137573358,-0.6942637323776985,-0.694572721918424,0.2536830926934878,-0.694572721918424,-0.7474954373908765
25,-0.7487055287216648,6.25e-05,-0.7490145361784732,0.25072052108519005,-0.7609498533937666,-0.761258903476927,0.24837923546632132,-0.761258903476927,-0.7490145361784732
26,-0.7577726226864439,6.25e-05,-0.7580817820447864,0.25036267719485544,-0.6667434881544776,-0.6670527110497156,0.2559666401810116,-0.6670527110497156,-0.7580817820447864
27,-0.7618675371011098,6.25e-05,-0.7621767719586691,0.24784185416770704,-0.6682335287332535,-0.6685427559746636,0.25184988809956443,-0.6685427559746636,-0.7621767719586691
28,-0.7622378374591018,6.25e-05,-0.7625471180135553,0.2483948897231709,-0.6952278812726339,-0.6955371697743734,0.25002436422639424,-0.6955371697743734,-0.7625471180135553
29,-0.7632845531810414,3.125e-05,-0.763593852519989,0.24793690741062163,-0.7203231528401375,-0.7206324984629949,0.24852487279309166,-0.7206324984629949,-0.763593852519989
30,-0.7648327220569957,3.125e-05,-0.7651420210347031,0.2471232769164172,-0.732562619364924,-0.7328719082805846,0.2468062945538097,-0.7328719082805846,-0.7651420210347031
31,-0.7633510152498881,1.5625e-05,-0.7636603037516276,0.24867123690518467,-0.7347226267059644,-0.7350319160355462,0.24538133790095648,-0.7350319160355462,-0.7636603037516276
32,-0.7642651281573556,1.5625e-05,-0.7645744164784749,0.24788566773588008,-0.6900511648919847,-0.6903604533937242,0.2517673439449734,-0.6903604533937242,-0.7645744164784749
33,-0.7621716091127106,7.8125e-06,-0.7624808976144501,0.24820100285790184,-0.688032194144196,-0.6883414818180932,0.2530717717276679,-0.6883414818180932,-0.7624808976144501
34,-0.7750546354236025,7.8125e-06,-0.775363923925342,0.24629246818296838,-0.6565932457645735,-0.6569025350941552,0.24456611358457142,-0.6569025350941552,-0.775363923925342
35,-0.7696325327410842,3.90625e-06,-0.7699418212428237,0.24712501484336274,-0.7193182955185572,-0.7196275840202967,0.2508712286750476,-0.7196275840202967,-0.7699418212428237
36,-0.7676182040662477,3.90625e-06,-0.767927492387367,0.24664692237521663,-0.7219272284872003,-0.7222365174028609,0.2478407902850045,-0.7222365174028609,-0.767927492387367
37,-0.7611565001083143,1.953125e-06,-0.7614657886100538,0.2484917262286851,-0.727937873866823,-0.7282471623685625,0.25259728150235283,-0.7282471623685625,-0.7614657886100538
38,-0.7627174615859985,1.953125e-06,-0.763026750087738,0.24851228829586144,-0.6592351814938916,-0.6595444679260254,0.24930131683746973,-0.6595444679260254,-0.763026750087738
39,-0.7665505976387949,9.765625e-07,-0.7668598861405344,0.24787529761140997,-0.708853940375977,-0.709163228670756,0.25203583223952186,-0.709163228670756,-0.7668598861405344
40,-0.7674662328127658,9.765625e-07,-0.7677755211338853,0.24698632603341883,-0.7406979189771745,-0.7410072071684731,0.2440609120660358,-0.7410072071684731,-0.7677755211338853
41,-0.7692006226741906,4.882813e-07,-0.7695099108146899,0.24676550048770327,-0.7640210257636176,-0.7643303142653571,0.247828039030234,-0.7643303142653571,-0.7695099108146899
42,-0.7611631751060486,4.882813e-07,-0.7614724636077881,0.24860510988668963,-0.6936464955409368,-0.6939557823869917,0.2524022145403756,-0.6939557823869917,-0.7614724636077881
43,-0.7732554890892722,4.882813e-07,-0.773564777952252,0.24612703251116202,-0.7266420924829112,-0.7269513805707296,0.24662635723749796,-0.7269513805707296,-0.773564777952252
44,-0.7685648076462023,4.882813e-07,-0.7688740961479418,0.2478969248858365,-0.7173109588523706,-0.7176202469401889,0.2513027886549632,-0.7176202469401889,-0.7688740961479418
45,-0.765195263154579,2.4414064e-07,-0.7655045516563185,0.2471801945657441,-0.7151270901991261,-0.7154363782869445,0.25059836440616184,-0.7154363782869445,-0.7655045516563185
46,-0.7690031896937978,2.4414064e-07,-0.7693124781955373,0.24690707605896575,-0.7026440737148126,-0.7029533618026309,0.2500052261683676,-0.7029533618026309,-0.7693124781955373
47,-0.7691753403706985,1.2207032e-07,-0.7694846286918178,0.24635345511364215,-0.7639573547575209,-0.7642666432592604,0.2442366960975859,-0.7642666432592604,-0.7694846286918178
48,-0.7675566557681922,1.2207032e-07,-0.7678659442699317,0.24774914952841673,-0.6855207532644272,-0.6858300401104821,0.2534193727705214,-0.6858300401104821,-0.7678659442699317
49,-0.765939153324474,6.103516e-08,-0.7662484416455934,0.2473603291945024,-0.7305193795926042,-0.7308286676804224,0.24666966332329643,-0.7308286676804224,-0.7662484416455934
50,-0.765475439302849,6.103516e-08,-0.7657847278045885,0.24890661718267382,-0.7312597946988212,-0.7315690815448761,0.24411499169137743,-0.7315690815448761,-0.7657847278045885
51,-0.7709942644292658,3.051758e-08,-0.7713035529310053,0.2461669820727724,-0.7058826560775439,-0.7061919437514411,0.24862653927670586,-0.7061919437514411,-0.7713035529310053
52,-0.751997152964274,3.051758e-08,-0.7523064412853935,0.25027880199027785,-0.6849370350440344,-0.6852463218900893,0.25337087859710056,-0.6852463218900893,-0.7523064412853935
53,-0.7687742469888745,1.525879e-08,-0.7690835351293738,0.24681531714670585,-0.6604487328893609,-0.6607580201493369,0.2508997263179885,-0.6607580201493369,-0.7690835351293738
54,-0.768951867385344,1.525879e-08,-0.7692611557064635,0.24672182401021323,-0.7465763654973772,-0.7468856539991167,0.24896038654777738,-0.7468856539991167,-0.7692611557064635
55,-0.7662632777835383,1e-08,-0.7665725659240376,0.24788643184936407,-0.709673496377137,-0.7099827842579948,0.25015544560220504,-0.7099827842579948,-0.7665725659240376
56,-0.7650796355623187,1e-08,-0.7653889238834382,0.2477071149782701,-0.7135142890943421,-0.7138235767682394,0.24956072949700886,-0.7138235767682394,-0.7653889238834382
57,-0.7660213174241962,1e-08,-0.7663306059259357,0.24735154229583162,-0.694748600323995,-0.6950578871700499,0.251565867000156,-0.6950578871700499,-0.7663306059259357
58,-0.7680826389428341,1e-08,-0.7683919272639534,0.24737603537964098,-0.7625317706002129,-0.7628410591019524,0.24791448646121556,-0.7628410591019524,-0.7683919272639534
59,-0.7693234537587021,1e-08,-0.7696327422604416,0.24722436558116567,-0.6928338375356462,-0.6931431260373857,0.2497120276093483,-0.6931431260373857,-0.7696327422604416
